1	logo	logo/2017/10/zJo3_orchidcruise-logo.png
2	hotline-header 	(84.0) 9 3663 8069
3	name-hotline-head	Martin/Mr (24/7 service)
4	emailus-head	info@orchidcruises.com
6	name-office-1	Halong Head Office
7	address-off-1	32, Anh Dao St, Ha Long City, Quang Ninh Province
8	tel-off-1	(+84.203) 3 846 810/ 3 846 811
9	fax-off-1	(+84.203) 3 846 599
10	web-off-1	www.orchidcruises.com
11	email-off-1	info@orchidcruises.com
12	name-off-2	Hanoi Sales Office
13	address-off-2	# 5/33B, Pham Ngu Lao str. Hoan Kiem Dist, Hanoi
14	tel-off-2	(+84.24) 3759 3098/ 3927 5797/ 3927 5796
15	fax-off-2	(+84.24) 3759 3097
16	hotline-off-2	(84.0) 9 3663 8069 – Martin/Mr (24/7 service)
17	email-off-2	sales@orchidcruises.com
18	name-box-3	Orchid Cruise
19	content-box-3	International Tour Operator License No  01-817/2011/TCDL - Issued by Vietnam National  Verified and Protected by#
